id,tm_r_sc,pos1_r_sc,pos2_r_sc,pos3_r_sc,pos4_r_sc,pos5_r_sc,tm_d_sc,pos1_d_sc,pos2_d_sc,pos3_d_sc,pos4_d_sc,pos5_d_sc,a_result
93,1.94117647058824,2.94117647058824,2.94117647058824,2.94117647058824,1.94117647058824,1.94117647058824,2.08474576271186,1.4180790960452,2.08474576271186,1.08474576271186,1.08474576271186,2.08474576271186,1
94,1.94117647058824,0.941176470588235,1.27450980392157,0.941176470588235,1.94117647058824,0.941176470588235,2.08474576271186,3.08474576271186,3.08474576271186,2.64030131826742,3.08474576271186,3.08474576271186,0
95,2.08474576271186,1.58474576271186,1.08474576271186,2.4180790960452,1.08474576271186,1.08474576271186,2.0,2.33333333333333,3.0,3.0,2.27272727272727,3.0,0
96,2.0,3.0,3.0,1.66666666666667,2.27272727272727,2.14285714285714,2.08474576271186,2.08474576271186,1.08474576271186,1.08474576271186,2.08474576271186,1.08474576271186,1
97,2.76923076923077,3.26923076923077,2.76923076923077,1.76923076923077,3.1025641025641,1.76923076923077,2.0,3.0,1.8,2.5,3.0,3.0,0
98,2.76923076923077,3.76923076923077,3.76923076923077,3.76923076923077,3.76923076923077,3.76923076923077,2.0,1.0,1.8,1.0,1.66666666666667,1.0,1
99,2.76923076923077,3.76923076923077,2.76923076923077,3.76923076923077,3.76923076923077,3.76923076923077,2.0,2.0,1.0,1.0,1.0,2.0,1
100,2.0,1.0,2.33333333333333,2.0,2.27272727272727,1.66666666666667,2.0,2.5,3.0,3.0,3.0,3.0,0
101,2.0,1.0,1.0,2.33333333333333,2.11111111111111,2.14285714285714,2.0,3.0,2.6,1.66666666666667,3.0,3.0,0
102,2.76923076923077,3.76923076923077,3.76923076923077,3.76923076923077,3.76923076923077,3.76923076923077,2.0,2.5,1.0,1.0,1.66666666666667,2.0,1
103,1.8,1.46666666666667,2.13333333333333,2.8,1.6,1.46666666666667,1.83720930232558,0.837209302325581,0.837209302325581,0.837209302325581,1.63720930232558,0.837209302325581,1
104,1.8,1.8,0.8,0.8,0.8,1.2,1.83720930232558,1.83720930232558,1.83720930232558,2.83720930232558,1.63720930232558,1.63720930232558,0
105,2.76923076923077,3.26923076923077,3.76923076923077,3.76923076923077,3.1025641025641,3.76923076923077,2.0,1.0,2.6,1.0,1.66666666666667,1.0,1
106,2.76923076923077,3.76923076923077,3.76923076923077,3.76923076923077,3.1025641025641,3.76923076923077,2.0,2.0,1.0,2.0,1.0,2.53846153846154,1
107,1.83720930232558,1.83720930232558,1.83720930232558,1.83720930232558,0.837209302325581,1.63720930232558,1.8,1.8,2.13333333333333,1.46666666666667,1.8,2.8,0
108,1.95238095238095,2.95238095238095,1.95238095238095,2.61904761904762,1.95238095238095,2.55238095238095,1.8,1.46666666666667,1.8,0.8,0.8,1.2,1
109,1.95238095238095,2.95238095238095,2.95238095238095,1.80952380952381,2.45238095238095,1.45238095238095,1.8,1.6,1.3,2.0,1.6,1.2,1
110,1.57142857142857,1.57142857142857,2.57142857142857,1.9047619047619,1.57142857142857,2.57142857142857,1.8,1.8,0.8,0.8,1.8,1.6,1
111,1.57142857142857,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,0.571428571428571,1.8,1.46666666666667,2.13333333333333,2.8,2.8,1.6,0
